image,question,expected_answer,predicted_answer,question_type,correct
img1.jpg,How many vehicles are visible?,2,1,counting,FALSE
img1.jpg,What vehicles are present?,"a taxi, a truck, and a car","A taxi, a truck, and a car",object recognition,TRUE
img1.jpg,Is there grass in the image?,yes,Yes,object presence,TRUE
img1.jpg,What color is the taxi?,yellow,yellow,color,TRUE
img1.jpg,Is there a tree near the road?,yes,Yes,scene understanding,TRUE
img2.jpg,How many cows are there?,2,Two,counting,TRUE
img2.jpg,What animals are visible?,cows,Cows,animal recognition,TRUE
img2.jpg,What color are the cows?,brown and white,Brown and white,color,TRUE
img2.jpg,Are the cows sitting or standing?,sitting,They are sitting,activity recognition,TRUE
img2.jpg,Is the area grassy?,yes,Yes,scene understanding,TRUE
img3.jpg,How many horses are visible?,2,Two,counting,TRUE
img3.jpg,What sport is being played?,horse racing,Jumping,sports recognition,TRUE
img3.jpg,What color is the first horse?,white,Black and white,color,TRUE
img3.jpg,What color is the second horse?,black,Black and white,color,TRUE
img3.jpg,Are the players outdoors?,yes,Yes,scene understanding,TRUE
img3.jpg,How many people are visible?,2,Two,counting,TRUE
img4.jpg,How many giraffes are visible?,2,Two,counting,TRUE
img4.jpg,What animals are in the image?,giraffes,Giraffes,animal recognition,TRUE
img4.jpg,Are the giraffes close to trees?,yes,Yes,spatial reasoning,TRUE
img4.jpg,Is this a natural outdoor scene?,yes,Yes,scene understanding,TRUE
img5.jpg,What vehicle is visible?,airplane (air france a380),airbus a380,transportation recognition,TRUE
img5.jpg,What airline name is written on the plane?,air france,air france,text recognition,TRUE
img5.jpg,What color is the airplane?,white,Air France,color,FALSE
img5.jpg,Is the airplane flying?,yes,"Yes, it is",activity recognition,TRUE
img6.jpg,What dessert is on the plate?,cake,A piece of cake,food recognition,TRUE
img6.jpg,Is there a fork on the plate?,yes,Yes,object presence,TRUE
img6.jpg,How many plates are visible?,1,One,counting,TRUE
img6.jpg,Is food present on the table?,yes,Yes,scene understanding,TRUE
img7.jpg,How many people are sitting together?,2,Two,counting,TRUE
